PATIENT_NAME,ECG_T_Onsets__abs_energy,ECG_T_Peaks__abs_energy,ECG_T_Offsets__abs_energy,ECG_R_Onsets__abs_energy,ECG_P_Onsets__abs_energy,ECG_Q_Peaks__abs_energy,ECG_P_Offsets__abs_energy,ECG_P_Peaks__abs_energy,ECG_S_Peaks__abs_energy,ECG_R_Offsets__abs_energy
patient120,3276724477.185379,3288151952.751205,3297258033.53815,3295000394.3640647,3323239060.210068,3297902310.250844,3337054370.239632,3333253245.4444447,3307192274.023496,3308240120.213857
patient224,3659217045.6765695,3671325338.193577,3682215959.15202,3664062229.215565,3699765035.685548,3675295591.830533,3710595786.3401823,3706665967.0944514,3689607801.614728,3704154761.53894
patient276,3604286538.399584,3616302097.986323,3626081542.699489,3627280507.073732,3656059187.099896,3630016032.828442,3668710554.487708,3664760230.6482,3637929973.888505,3641769875.2022314
patient043,3261370304.899909,3272467735.807567,3281233963.1129785,3289364097.1902604,3334550830.682207,3293856998.3316646,3344241410.405631,3340794733.3372545,3306182847.0563164,3305649851.859187
patient043,3314003826.465067,3325429162.1983724,3332827832.794926,3328264301.234568,3353509111.1910806,3331927625.910837,3365222073.701478,3360065796.8999653,3346161858.4447875,3349071153.399437
patient043,3330960170.360568,3334509114.982159,3343588292.3029184,3339654500.3094893,3365159388.220896,3342748377.329305,3375606435.583763,3370375189.3603826,3351227390.8992043,3354451212.395246
patient087,3309195630.940423,3322952575.5714097,3327946324.534348,3325161037.755299,3351836946.082161,3326935474.0637746,3362352474.4963846,3357667142.360827,3339522159.3642955,3338976421.958981
patient087,3391860864.0994678,3399027230.6159167,3405267421.032485,3397811471.2364526,3434170061.673906,3396358204.47672,3445175265.378698,3440593113.924024,3410704075.509169,3423844979.242477
patient087,3336869429.8229203,3354263854.278655,3354311893.2073216,3349446930.8098254,3369681654.8570166,3348656623.8614664,3380993949.907727,3373689431.875868,3366474172.553577,3369288972.939929
patient114,358660390.4359661,359535184.6053875,366221519.9551004,364178982.4887258,376486292.6956573,368354147.7433535,380549709.8474485,378625608.0926277,372419373.56088734,372871984.2581521
patient106,255153111.82708743,258350395.9000657,260653573.5147929,257008190.67562503,255480878.8224852,258310791.2025,259751076.93951344,258350395.9000657,266886133.2225,364569934.5872134
patient034,3286816260.580499,3298243186.777778,3306476092.300477,3306115767.207552,3337913680.544403,3309702454.8650475,3348352714.0498867,3344338011.764034,3321333718.594777,3322821618.957558
patient034,3315150141.0383654,3324961917.888228,3330780418.4901905,3312919411.109034,3327687525.6332498,3315049151.390816,3339098752.8059044,3334761310.679716,3329642647.964485,3337340069.9642854
patient034,3360189804.37264,3370495155.0183187,3376661857.9283595,3345665861.9279537,3366092965.4416003,3343055157.979855,3376358369.4736004,3372365148.164702,3360699237.109128,3357864222.2969112
patient034,3379213878.666705,3387302511.39952,3393709753.0864205,3358273192.2953625,3385993485.071826,3361303362.719711,3396872831.474204,3392756874.166476,3377849464.107869,3378369021.780526
patient193,364533605.0034626,368345995.4854571,371155434.3663436,370370315.3501537,374234183.6844444,370318706.77777785,372560092.7707756,370808738.2610804,376448548.7975016,378000337.2840237
patient127,3304190526.222495,3315663994.302112,3323658906.0194693,3327178942.161865,3324986819.5460544,3329740407.87722,3338114525.5645504,3333307434.907376,3340393029.2099967,3346567624.099637
patient127,3306287296.586273,3329726687.6016016,3326862406.081972,3331942866.9680023,3365305629.9297533,3335150988.4901795,3378655851.555612,3362932610.9072084,3368679045.2653484,3370463271.5759783
patient273,3536410502.702869,3548309563.6364613,3556746706.3511105,3559280241.7480445,3585553021.727285,3555610787.095258,3596397418.665458,3592457653.0911846,3572461144.142687,3571663758.214078
patient283,3688387030.508513,3700536931.239592,3709255525.879048,3719980437.699087,3743212784.771707,3722315010.245448,3756557677.2791977,3751303832.583885,3736390227.00037,3727118824.137116
patient076,3409195124.5318627,3414364800.320656,3419441166.939904,3415243927.962001,3444562769.314705,3420850346.7318296,3456423472.319096,3450894339.568007,3442975534.743875,3432649624.2127323
patient076,3404918507.2408047,3413183019.056072,3419536913.623028,3397811471.2364526,3407412289.046153,3387078832.6863904,3418882392.403193,3414286356.5193067,3418494173.902186,3430636639.795127
patient076,3291523556.6618004,3304850981.361111,3310714266.5352826,3314302097.639361,3326164115.321289,3307618820.4034743,3337031704.6584477,3332982019.875244,3330650423.9207764,3334704878.163125
patient076,3296601898.315031,3304796033.379337,3316158036.6450844,3317212551.3984294,3332915658.8545494,3310295518.2017646,3343780089.9419727,3339281670.9190016,3325721849.992567,3322759037.423245
patient004,3334352613.329802,3348611483.100396,3361812410.920424,3354019439.5719457,3382320387.612477,3357569192.4415817,3393863798.694674,3387218080.554942,3366273984.16,3370916603.409869
patient004,3327475710.740804,3344724404.879549,3353265075.496348,3351292403.285732,3380067443.750044,3354672146.042141,3391310419.9656925,3383647381.143616,3363207135.3308764,3367575110.666089
patient097,3156851828.002678,3102113877.319848,3163508371.5567203,3060210925.748713,3188276267.1981463,3085455639.0142603,3196979692.2659945,3141768342.658162,2918797129.0020885,2975958457.2264805
patient097,3240716464.6799364,3260122728.607565,3267487987.68018,3265782000.7607355,3292882156.000271,3269193698.7469707,3302163877.0334525,3298010716.542721,3275618448.7362046,3281794455.505889
patient097,3380955408.6932697,3392196071.430605,3401441457.165257,3408352236.1286945,3445556359.640423,3413689297.744887,3461769912.238965,3457231289.6363125,3421216258.4039235,3424562162.725857
patient097,3354729184.6159625,3371240854.02955,3378475863.7563624,3363781911.5451245,3391264751.4772906,3362548024.279923,3402419547.220374,3397886896.0297303,3391310597.054559,3393513811.7632856
patient109,3423124712.060332,3431813293.5060835,3436771365.0882697,3451840288.8264604,3491542093.563405,3454684714.39977,3502707858.124336,3498150161.0874643,3470435228.1600003,3464538516.182436
patient102,3307130910.8617864,3319898060.7097664,3336274655.9051294,3332240470.267089,3358951443.0656147,3333116683.5950723,3370896977.9453354,3365324756.660572,3343465626.53636,3347746989.756947
patient284,3628018251.69845,3639970070.0796833,3648642421.21057,3650559024.334401,3676761196.828428,3653783708.078089,3688641930.852191,3684997181.9262896,3661738530.391046,3664924622.2940326
patient284,3567068000.535989,3579022987.7700315,3587096689.3327794,3593523170.439733,3622895009.601177,3596741301.152995,3634662612.45214,3630963314.743524,3604871787.947282,3608751412.8489256
patient284,3613749102.617778,3625781995.9511113,3634140561.361112,3637517373.166484,3665949703.8208447,3640845270.273409,3677384245.2736,3673652105.6356006,3648990447.2542434,3650606282.61139
patient078,3326047420.339335,3344099613.7505665,3343869083.618584,3338407071.77151,3375243638.176332,3343820201.41758,3377889452.742373,3375890624.87968,3365805296.192888,3370916603.409869
patient078,3263366913.4318,3271770048.7815323,3283546861.150072,3290860424.875617,3289024722.519359,3292813687.617745,3301154384.345596,3294252559.667168,3298609830.2759576,3303327608.085884
patient078,3326047420.339335,3345127467.005917,3343869083.618584,3338407071.77151,3368196736.759296,3346187632.437164,3377889452.742373,3373834729.973348,3367304394.3962665,3371637774.815587
patient078,3233702514.2109213,3226634134.485631,3248298660.783008,3247247468.538299,3274886588.940404,3251528364.149435,3287197232.3835464,3276394236.776344,3278057528.7913475,3282436922.0864205
patient264,3561189073.456342,3573134213.2937407,3581481437.5065107,3588363611.937825,3613736004.5182095,3592272860.569784,3626943885.541411,3621935752.6935024,3600648416.291622,3608751412.8489256
patient279,3597050169.7358217,3609055252.344517,3620005106.3156905,3644970906.9342456,3700932932.5861297,3640534105.4776273,3711551006.25,3707488852.457939,3660221142.91402,3661195181.291383
patient279,3672028372.322304,3684157825.069557,3695005930.0723343,3714901175.0001183,3778949994.851346,3716531103.4547496,3789736426.192006,3785648807.172564,3725456986.011342,3716163130.288894
patient279,3641369938.878893,3653448691.820069,3663330216.379854,3678459007.857574,3734916202.746636,3680356488.119899,3745684804.0,3741579395.340639,3688611680.197568,3693885033.872749
patient279,3624301096.837394,3636351530.54526,3646787895.3315234,3666309227.780865,3732154211.736018,3668213437.827161,3742663822.492236,3738638200.972604,3676446923.105679,3680746435.824197
patient052,3308719707.7539907,3319318862.26098,3331200765.66818,3317172506.01,3342675110.9961267,3319740199.381511,3353502028.5133557,3349610400.8382053,3356716826.3524,3354849713.54864
patient064,3309593915.25054,3320313080.445983,3327367222.741234,3321288411.436391,3347783660.3521085,3326213154.23773,3360283600.095756,3354954019.2994766,3335580255.5584435,3340441460.7236686
patient254,3156851828.002678,3102113877.319848,3163508371.5567203,3060210925.748713,3188276267.1981463,3085455639.0142603,3196979692.2659945,3141768342.658162,2918797129.0020885,2975958457.2264805
patient101,3351728890.2591887,3359920991.964422,3365431001.206501,3338407071.77151,3353056763.266643,3337791677.8312063,3363822719.3168387,3360187854.195465,3366065988.4689765,3362888654.806609
patient101,3192280163.780932,3203517831.0320697,3212903260.4608026,3230957797.7210984,3253443897.679916,2450625968.802903,3265037952.536155,3260233112.833475,2612271920.7943263,3271261644.3781114
patient101,3371392574.5876813,3381462178.939931,3386785370.5500345,3351028482.647247,3372677612.411107,3351305589.219281,3385181402.2854323,3381462178.939931,3366773302.546117,3365886175.0265794
patient027,3435690895.3610983,3444240298.527193,3449923461.499341,3442854852.724756,3442292720.009184,3421979621.194267,3452641710.1136293,3448943395.81678,3430614183.6737432,3443702584.281184
patient027,3382791591.7953534,3392093720.168177,3399979197.4476714,3392842647.15119,3425906218.881715,3394783333.5147934,3436821316.85583,3432570703.42278,3402625215.385273,3405505471.34737
patient027,3312834041.6119413,3322767754.891032,3332004055.6807485,3320174725.9392514,3340244365.440007,3326886710.365479,3350225167.2019887,3346778911.086763,3337307942.343732,3339439206.09212
patient185,3309427275.571569,3320942799.9413166,3329322971.5102043,3333226946.181234,3370264964.6053243,3333592924.4256253,3380491186.8236,3376297470.292776,3350365285.9391418,3347217162.3990426
patient164,376607701.6402887,379555255.1277967,381842175.7018492,372177949.3587313,385874055.6503256,374811585.6436555,389236210.65300375,387736377.1934664,381254662.7324129,378328681.3027224
patient164,376607701.6402887,379555255.1277967,381842175.7018492,372177949.3587313,385874055.6503256,373042481.633136,389236210.65300375,387736377.1934664,381798573.4444445,379251602.6468744
patient253,3475825375.8259583,3487410926.243072,3495511128.667436,3507305690.7001004,3541267686.7991605,3506124225.116013,3552429863.1536665,3548479151.803522,3518202572.2277355,3521500748.709516
patient204,3594473727.05896,3606474513.066656,3615051526.5682135,3618837387.200251,3621708593.6648154,3621769884.627356,3635167657.0267234,3630597121.787193,3635313123.6059833,3650606282.61139
patient219,3156851828.002678,3102113877.319848,3163508371.5567203,3060210925.748713,3188276267.1981463,3085455639.0142603,3196979692.2659945,3141768342.658162,2918797129.0020885,2975958457.2264805
patient009,248750155.7686786,263678548.7603306,254038198.2727128,266651481.6177778,273737025.0,267435145.19753084,276975832.16735536,275923055.8682852,274144551.2301234,364569934.5872134
patient142,3250757693.90602,3259598683.44158,3277545582.904712,3267689173.786349,3290737313.1953773,3272643639.585961,3300846090.5898137,3302030244.9782696,3281137745.8611245,3282066330.765344
patient058,3255499757.3138967,3266791899.001068,3275005832.11111,3273025727.218072,3296575290.4934425,3272574726.9573708,3308763941.7461658,3303420703.58516,3284298408.585976,3286901892.070937
patient287,3596736637.5143743,3621255192.168815,3614599066.1143856,3613396578.127317,3613426488.0090194,3605152379.8198457,3627069787.7531514,3621573228.845042,3632282047.506943,3639836844.8193913
patient287,3599625171.047549,3606615940.0653257,3614599066.1143856,3613396578.127317,3597322798.176392,3607546538.973995,3611428264.940243,3607186163.246879,3618928344.9273367,3613681782.8836985
patient166,3297470441.418975,3308965162.4716063,3317649853.545783,3326928231.1770134,3298447722.5393195,3330034622.500113,3314600836.6058025,3308965162.4716063,3338348530.7705865,3342956317.657845
patient216,3156851828.002678,3102113877.319848,3163508371.5567203,3060210925.748713,3188276267.1981463,3085455639.0142603,3196979692.2659945,3141768342.658162,2918797129.0020885,2975958457.2264805
patient021,3361717923.135302,3373241669.785838,3381653167.580971,3385528111.235362,3422864047.226874,3387830574.8924,3429170109.699481,3423832611.9702578,3398100196.169714,3405505471.34737
patient021,3285993815.9989944,3296705373.598964,3304815510.239979,3304802940.0599585,3337470413.1945577,3307955783.3384247,3347396339.764046,3343675670.970475,3318507219.5318885,3322821618.957558
patient021,3248941027.976451,3260342635.886973,3267996251.075484,3275212902.8726053,3283752271.0262218,3279639288.319517,3295816734.5255265,3291310236.8899174,3289860249.9684386,3290094120.750775
patient174,3294486251.8402367,3305975774.91716,3313660147.36,3317689649.227901,3296532573.73071,3320799865.4586563,3310952517.0766864,3305975774.91716,3328054189.5116253,3336895956.928087
patient174,3319587670.813286,3331120843.4160256,3338447666.7894545,3339671519.875792,3325011300.254504,3342878645.604332,3338932080.6952524,3334115625.436714,3350272373.5201077,3354810719.4413905
patient174,3321334005.1922565,3332870208.3922563,3340412756.060416,3346591279.4378943,3323686689.227776,3349820624.0062985,3337733394.5344005,3332870208.3922563,3357217422.25,3363671829.651412
patient260,3689103648.295149,3701258254.624026,3709137469.523247,3715860378.442229,3770237814.954045,3725650346.352634,3781713658.35958,3776819786.5186777,3733898524.426532,3738508205.311719
patient128,376950027.8358092,374486357.7225001,381679960.0292276,383690699.51279,398118218.4100001,373926510.5193951,401943354.6756251,400268044.8900001,388880323.90481865,389962311.312314
patient228,3595132280.1295366,3605145566.170928,3621654171.8166327,3628439571.271879,3667841041.884588,3620217549.63922,3676086933.821955,3671477758.078211,3642442007.006921,3650606282.61139
patient197,3219377433.832851,3223773395.3610816,3240323145.706379,3247984251.8155847,3288302120.818045,3252045350.016692,3300136226.644438,3292717433.874678,3263974553.262385,3271261644.3781114
patient197,3387087786.325444,3396924029.668273,3404109104.552926,3411662556.4912667,3441721618.462707,3414733848.492883,3455763649.39908,3448480068.8435974,3433759586.639745,3424562162.725857
patient242,3569282867.7436056,3581238214.9625406,3588854514.023375,3593523170.439733,3630115587.60668,3596664106.482253,3639542677.98176,3635390047.674703,3604079488.3890815,3610099573.5108495
patient024,3250075734.1896462,3261471041.1488023,3268891174.4022503,3276847239.03955,3317663381.348596,3279789674.224704,3326903323.0505333,3322922781.0890346,3288914224.0911355,3297612658.824391
patient024,3309047966.7056246,3320492722.480278,3328235135.236736,3325961312.1494,3380160762.7225003,3341047318.9187217,3390293277.7506247,3386013061.126736,3348959856.7335567,3353383364.8582067
patient024,3265421623.554675,3276860397.108394,3284740181.5832944,3289996266.224572,3334490751.779319,3295989980.3445983,3345853760.6800084,3341406559.55529,3304577055.9409432,3308210946.412255
patient024,3362144256.0,3373751056.0,3382011883.788349,3385528111.235362,3413201927.6483293,3382801849.362146,3423800425.5625,3419247395.3798847,3392326791.5625877,3398690123.1394944
patient099,3156851828.002678,3102113877.319848,3163508371.5567203,3060210925.748713,3188276267.1981463,3085455639.0142603,3196979692.2659945,3141768342.658162,2918797129.0020885,2975958457.2264805
patient099,3359420064.254368,3368083404.017405,3377152601.6737394,3385528111.235362,3410158279.346018,3377177737.1565003,3419756193.330724,3416479937.3814754,3387218504.0869484,3392513047.100063
patient099,3356968914.928499,3362677177.6876416,3371763585.234568,3385528111.235362,3422096787.429138,3386927499.111439,3432316606.191043,3428607163.810091,3391650916.03706,3395513726.557117
patient099,3258028984.1948447,3269440328.1603994,3279560447.7195106,3284028779.94354,3310962844.9344444,3282691982.200079,3320514619.528712,3316995884.0011115,3294038548.1075835,3297612658.824391
patient212,3629596893.522447,3625325384.712611,3650191757.235761,3651049453.4082174,3663330089.519238,3654307621.674374,3665320129.249962,3660206249.062095,3680374515.027513,3686661251.067287
patient116,3383741939.490759,3395279349.154504,3402915386.0065746,3411840960.933353,3447216301.1864176,3414454114.3126254,3460061871.229747,3454187165.4444447,3421100918.506248,3424291855.320382
patient105,3403456265.049124,3415134094.778853,3423666004.5508127,3420044630.578849,3426118416.894813,3425545638.683663,3455146781.539667,3434581663.2681246,3435027468.179316,3438424489.053466
patient054,3325070732.459926,3339163330.420623,3344638394.515097,3349957655.664444,3374255380.6340485,3353847157.5009065,3387275376.562957,3381084554.326505,3361476964.4813795,3365861684.3998494
patient054,3399437418.986365,3410135610.149525,3418825704.342696,3431092171.471657,3457407682.518268,3425935605.4091477,3469520243.577006,3464110505.887128,3434285859.2452364,3437647462.115702
patient054,3324799880.939053,3345249716.6038785,3353265075.496348,3353735967.7968674,3381471390.622581,3357516671.095377,3393022430.0546064,3387608486.454177,3368166797.3609905,3373976630.3963165
patient054,3388076352.257049,3399525016.918536,3408242248.6857886,3402783931.085764,3425771338.479289,3406383092.3050795,3438855776.8483915,3432346263.517546,3419735702.484217,3423844979.242477
patient261,3575034050.2978067,3584250630.186349,3607499641.733925,3612524483.852941,3653160313.945207,3616012506.787901,3664708566.537971,3659840646.364099,3625742044.2404256,3629507482.1717753
patient225,3592293196.1931543,3601783158.8541303,3595588163.088365,3603840154.585711,3641787028.26767,3607184541.777204,3653153610.1831694,3627110653.348848,3621399206.253906,3629507482.1717753
patient205,3592673953.1696024,3604671736.873306,3613471245.535309,3620256355.73232,3594911132.9782715,3622887438.7112894,3610209005.296516,3604671736.873306,3632765392.652466,3612332953.452522
patient062,3411158959.485852,3429877462.578051,3436771365.0882697,3451840288.8264604,3486937474.146079,3453548914.7513003,3499302860.835512,3493805684.145135,3464242899.2068267,3466185859.3298645
patient153,3233702514.2109213,3229435080.6641016,3248298660.783008,3247635547.8407927,3274886588.940404,3251528364.149435,3287197232.3835464,3282103281.0019145,3262741941.0427456,3271964728.966484
patient227,3667860519.8085656,3679972607.7160497,3687770778.148491,3668678199.416681,3713925106.889232,3682073990.26122,3726414400.280788,3721401405.886641,3702853907.300839,3704534271.925656
patient129,3156851828.002678,3102113877.319848,3163508371.5567203,3060210925.748713,3188276267.1981463,3085455639.0142603,3196979692.2659945,3141768342.658162,2918797129.0020885,2975958457.2264805
patient083,3231778429.687793,3242977971.132296,3257418630.87644,3257745814.1448197,3280636682.846735,3253749407.880235,3292383439.675784,3286668428.9082847,3268202780.120552,3273703186.145328
patient083,3419422753.6558456,3431121962.8960075,3439363256.0071816,3451840288.8264604,3487871387.634588,3447559774.593955,3498208214.6631,3494429928.460859,3466052886.667608,3464538516.182436
patient083,3370011071.94004,3386208566.336176,3394514643.1415825,3405579868.3918586,3437553167.0896955,3400318500.0625,3449419174.3033905,3443915865.825963,3418582466.9968786,3422253984.052884
patient083,3295511405.7996416,3306351006.0624285,3313179791.374513,3310099749.080872,3331225826.289858,3311748073.3074794,3341299969.27029,3337033013.2044454,3325721849.992567,3322759037.423245
patient176,360085049.4224426,358059605.88134164,359827732.4143993,355435086.3186963,365073844.4259187,356791007.1480457,368716440.84169686,365851294.4468592,364810000.0,368199899.8526957
patient175,357340301.242191,360901368.4400182,363563470.9031236,362595311.6253586,374412619.2141241,364873669.4444445,378007910.564056,376629997.34223634,367695006.390625,369263463.3858507
patient065,3284038671.721693,3296157792.6654067,3304615335.218186,3305025254.873256,3324099025.0,3304249386.569149,3339585332.3666115,3331681773.854938,3315582691.02731,3319482900.949357
patient065,3320049768.664769,3336341742.0503454,3339621370.3574214,3350307916.2908645,3385993592.293662,3353775721.287464,3397740630.020105,3393267682.206282,3390293816.882359,3377349664.159456
patient065,3221193557.588548,3230669713.660571,3239559256.413988,3250043622.254437,3297652926.0085773,3253481525.108081,3310610271.582241,3306276796.170799,3271438512.3174,3284511900.554881
patient065,3324799880.939053,3331966479.731149,3344015451.533081,3350317595.6598525,3384252215.67155,3353385623.489519,3395832050.430582,3391570957.429584,3377252883.29926,3373976630.3963165
patient233,3569373589.759471,3581266868.5501704,3590846174.161362,3600510907.1126986,3641291291.777996,3606019065.536267,3654682961.878942,3650898997.387449,3615666773.587879,3613681782.8836985
patient233,3552386582.125538,3564316962.2908278,3573748198.713271,3583928141.9083576,3596489120.871594,3586522473.8796697,3611112032.676457,3606484901.256471,3595034500.3023376,3599285937.0515995
patient233,3814569144.6674414,3826759803.6311727,3836597385.528926,3728741789.352612,3881022269.079981,3735725516.043624,3894723391.814493,3890693205.756165,3729676561.08773,3860538209.118247
patient233,3647578851.492406,3659659315.17143,3669180858.418005,3676680914.0041504,3696836286.070122,3679000593.0236816,3711114967.462893,3706759823.562776,3687921296.9414673,3692580814.933838
patient233,3626848821.228148,3638890786.504232,3648412200.849799,3661588487.560227,3705514653.372192,3664313570.685898,3718697338.804555,3715016915.793245,3672836384.14397,3686661251.067287
patient138,366183642.3915242,369601434.4741274,372248687.5164543,370370315.3501537,375170122.3023576,370373617.408711,376792662.5913465,375224691.36724895,376508407.609726,377501572.6378884
patient150,3281499619.140625,3292745926.6428223,3300476468.0200806,3305027903.6500816,3287963402.4611816,3317476435.16652,3302490210.119385,3297423359.897522,3322159597.11706,3301128400.032085
patient111,366183642.3915242,369601434.4741274,372248687.5164543,370313866.71985537,381715157.7351139,370428532.1104,376792662.5913465,375224691.36724895,375594477.6675999,377501572.6378884
patient171,3269763772.2437096,3281210141.898882,3290779622.20409,3290860424.875617,3290052259.59534,3289985736.267404,3302465610.323998,3287922263.062116,3302982759.6266184,3303208677.4936385
patient159,3319482737.8594103,3329645139.232178,3339975120.268176,3324971724.1975646,3361386365.001275,3337137722.1314383,3372620587.143176,3367664664.173611,3351569988.721544,3349804199.005598
patient002,3284625505.956411,3290860250.6403995,3302782387.0644727,3304321175.4348063,3341056560.8427114,3311471994.093066,3351187263.5136003,3347013577.4244,3319847660.7559314,3325702103.592649
patient240,3596273951.63978,3608277739.951468,3616632153.078091,3617418696.806826,3648605561.655591,3620652502.9362745,3660212285.811435,3656615402.729338,3633763959.21332,3650606282.61139
patient247,3326047420.339335,3335712488.188574,3345512256.239895,3344571874.650005,3372941536.268045,3346906756.653101,3381753349.086224,3378408762.490992,3355962855.637898,3362457801.807472
patient022,3282915039.5059843,3293601999.3677435,3302983887.0144634,3313496227.9053288,3350814002.798656,3316763503.4076595,3362238886.553856,3357356946.831616,3323190334.490362,3327217701.9380827
patient022,1891160805.7185376,1898897444.8818476,1905132116.458239,1915847916.16,1944770591.6889992,1918452909.4954011,1953646582.9842691,1949930843.064283,1923372741.464377,1926540005.6094184
patient022,3414742968.8878527,3432504693.7566257,3436771365.0882697,3458009026.487633,3495214730.0388203,3461817009.027751,3507210393.606153,3501872372.97374,3468158941.159764,3464538516.182436
patient155,3303812915.4843407,3315274325.2025204,3322880590.457268,3319597804.231628,3350378330.880615,3324261544.4360614,3362977239.91166,3356876828.8280225,3333111688.045088,3337511704.530472
patient223,3558959353.4859185,3570395400.6173472,3578919522.2908163,3581576625.6005507,3621194818.6469903,3585938863.5100856,3633143649.961276,3629134709.29,3597081442.8298373,3608751412.8489256
patient223,3564878936.51148,3576622646.58796,3585001939.2987766,3593523170.439733,3627214094.69898,3592601252.2108545,3639490853.408623,3635479272.7898464,3603497019.0465264,3608751412.8489256
patient092,3286045103.329296,3294333960.2523804,3306338780.5959835,3313371531.950438,3346178454.871305,3314556119.3057847,3356991372.5975003,3352551081.76597,3328003777.399187,3325986668.683053
patient092,3310335586.7740617,3321849945.4008565,3330877397.108151,3334206804.8946285,3372971115.938776,3335343525.6048737,3383170918.016881,3378805333.591333,3345338990.804204,3352272566.073265
patient092,3301214906.876072,3314714746.655631,3325601722.604874,3319594894.8902283,3355421476.0,3323479262.640625,3365717505.8775,3361313068.2169785,3333589235.656299,3337141021.666716
patient092,3305643333.3085327,3316275366.1234565,3324662786.6790123,3319144552.955335,3353908755.7093425,3325900051.679246,3364192577.9194336,3359751041.874321,3336391025.403994,3340435010.885429
patient117,3357240864.2718368,3368839204.729852,3377301764.5853395,3384314759.1095047,3411092138.013735,3387510723.5909667,3428174011.82332,3421917763.7890563,3395212880.2779546,3398690123.1394944
patient117,3262581945.968994,3274014855.046936,3282151261.2539062,3290080670.368367,3323297308.5021973,3292942139.189291,3334355100.015625,3327470895.429932,3301266762.842617,3303537477.5777264
patient152,360635273.54196095,358998502.8793943,370549779.3489366,368795361.820248,384201024.3510006,370416389.4054752,386351936.3985938,385326856.8096268,373726224.0,374624822.7789256
patient221,3564301758.596417,3576146516.7330213,3584579316.0954366,3593523170.439733,3622597832.9778714,3592238188.2469444,3635072520.024407,3631186249.4556246,3607393792.5069447,3608751412.8489256
patient070,3356565612.015625,3365682589.429749,3374941693.2120137,3380797938.8317785,3408983000.6389,3382577291.4336734,3421811837.555171,3415412359.9861603,3390012247.5159807,3395688040.179625
patient103,3350991600.0625,3356131686.3369,3374490815.0212226,3380797938.8317785,3410933770.24,3377177737.1565003,3420277664.2596,3416007389.4244003,3385822603.754534,3392513047.100063
patient290,3514955228.656239,3526483013.328598,3535640988.6854725,3548189150.647752,3574089105.8176355,3543535943.480979,3587230847.262413,3582775363.5216856,3556523864.030166,3571663758.214078
patient182,3235627171.328936,3247013686.034818,3255726124.5891004,3261964813.7303767,3289877745.2960644,3258279726.1833878,3301055901.8720264,3296487291.031358,3269700986.213651,3284239924.020832
patient269,3702053695.599608,3714229066.328617,3722704953.59005,3732868981.758316,3776320382.008991,3744018012.958992,3787662767.336702,3783224493.294031,3757869746.2172513,3727118824.137116
patient274,3565113189.020789,3571570113.258564,3601648037.972588,3616053128.975289,3665117149.0353503,3619531875.570248,3677721441.66316,3672613523.641445,3626587454.787521,3625917435.490566
patient020,3243394409.380404,3247430140.89735,3263013644.098482,3263870871.999734,3290373099.9775376,3267596153.707657,3302310449.984352,3294428674.9966955,3281491765.6423,3285919857.051574
patient020,3315614355.647665,3317461911.8504624,3328039752.4498887,3344132106.064915,3399876964.4214053,3349058546.206685,3410852608.3376555,3406836662.115953,3360213311.1203666,3370916603.409869
patient020,3296882428.265148,3307467052.279127,3315995267.5656605,3319594894.8902283,3354477435.0670524,3321944358.4967914,3365193001.2744484,3361241670.1363893,3332670795.6167903,3337045972.599396
